Price,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA
Date,,,,,
2000-01-03,0.08941036462783813,0.09096248412840709,0.0842772862939618,0.09024647542128685,300912000
2000-01-04,0.0870230495929718,0.08809752021769228,0.08260598031487557,0.08785824502278844,300480000
2000-01-05,0.08415807038545609,0.08594854903725696,0.08296441339720417,0.08451653223474234,188352000
2000-01-06,0.0786665678024292,0.0841581082645682,0.07544406406710512,0.0841581082645682,120480000
2000-01-07,0.07998031377792358,0.08081550239112874,0.07711535699938676,0.07830901442328453,71184000
2000-01-10,0.0826060101389885,0.08594860999917807,0.0787866834815621,0.08021870129978317,239856000
2000-01-11,0.07926337420940399,0.08308362125694443,0.07926337420940399,0.08212833067067235,148128000
2000-01-12,0.07723452150821686,0.07938346919452918,0.07616005108034975,0.07926336713968479,123552000
2000-01-13,0.08045703172683716,0.08117395560968182,0.07616005808694275,0.07711534867589491,132192000
2000-01-14,0.08391880989074707,0.08726140823436654,0.0814123221970964,0.0816516042004055,604560000
2000-01-18,0.08750070631504059,0.08785825302408676,0.081173970406228,0.08499329603255092,261648000
2000-01-19,0.0866645872592926,0.08785824465827503,0.08594857861166089,0.08785824465827503,164688000
2000-01-20,0.08642620593309402,0.0921561115720768,0.08571019740641234,0.08738149644384603,179568000
2000-01-21,0.08547094464302063,0.08654541536325094,0.08332199637198004,0.08618695335726907,544272000
2000-01-24,0.08165160566568375,0.08821670040501806,0.08117395694804304,0.08821670040501806,256944000
2000-01-25,0.08093467354774475,0.0828452547242733,0.07830900591456612,0.08200914407368759,237120000
2000-01-26,0.07759208977222443,0.08308363703200021,0.07616007233375699,0.08093468874599737,232464000
2000-01-27,0.07353349030017853,0.07818892000980568,0.07066853324077098,0.07818892000980568,458208000
2000-01-28,0.0713854432106018,0.07305674239989621,0.0685204935460791,0.07257910051640891,194448000
2000-01-31,0.07078860700130463,0.07329509421176271,0.06684918077045547,0.07174297527675613,182400000
2000-02-01,0.07245901972055435,0.07305676384649079,0.0682812315849527,0.07090782214286426,92976000
2000-02-02,0.07448875904083252,0.07592169834201506,0.07245899792167222,0.07281745986371117,149040000
2000-02-03,0.07568240910768509,0.07842817855105631,0.07520476044272978,0.07687605946018486,108240000
2000-02-04,0.07747289538383484,0.07806972403185823,0.07592169827419926,0.07806972403185823,123696000
2000-02-07,0.07269828766584396,0.07783136568169022,0.07257910771518562,0.07783136568169022,217488000
